Date,Close,High,Low,Open,Volume
23/05/22,3708.389893,3708.389893,3653.139893,3669.530029,31080500
24/05/22,3647.560059,3700.120117,3645.51001,3700.120117,31888600
25/05/22,3677.100098,3690.820068,3633.780029,3652.389893,32818300
27/05/22,3808.860107,3808.860107,3744.629883,3744.629883,27506100
30/05/22,3841.620117,3852.679932,3817.709961,3817.709961,25414500
31/05/22,3789.209961,3833.72998,3780.409912,3833.030029,53942600
1/06/22,3759.540039,3813.040039,3755.060059,3800.100098,29497900
2/06/22,3795.129883,3799.179932,3761.189941,3761.189941,18420000
3/06/22,3783.659912,3822.370117,3777.469971,3813.290039,20349100
7/06/22,3806.73999,3830.209961,3783.350098,3830.209961,22608200
8/06/22,3788.929932,3823.97998,3768.429932,3815.77002,27006900
9/06/22,3724.449951,3788.969971,3719.52002,3780.030029,32691000
10/06/22,3599.199951,3716.560059,3596.639893,3716.560059,56996300
13/06/22,3502.5,3581.870117,3494.310059,3581.870117,48850900
14/06/22,3475.179932,3540.870117,3466.689941,3512.040039,35902300
15/06/22,3532.320068,3549.27002,3487.439941,3496.280029,42377900
16/06/22,3427.909912,3528.110107,3420.649902,3528.110107,40203200
17/06/22,3438.459961,3485.939941,3422.780029,3433.560059,73481500
20/06/22,3469.830078,3469.850098,3429.399902,3443.25,27025000
21/06/22,3494,3524.23999,3469.830078,3469.830078,28682300
22/06/22,3464.639893,3494,3413.040039,3494,31496400
23/06/22,3436.290039,3481.850098,3411.830078,3456.350098,39573200
24/06/22,3533.169922,3538.939941,3443.280029,3443.280029,33373800
27/06/22,3538.879883,3595.669922,3523.969971,3537.860107,33202600
28/06/22,3549.290039,3583.459961,3545.889893,3545.919922,28200500
29/06/22,3514.320068,3534.820068,3495.179932,3534.820068,27093600
30/06/22,3454.860107,3501.199951,3414.73999,3501.199951,47870300
1/07/22,3448.310059,3471.25,3405.439941,3450.620117,34144000
4/07/22,3452.419922,3476.629883,3445.389893,3458.98999,28136000
